Newport,560
Monmouthshire,563
Blaenau Gwent,564
Torfaen,569
Rhondda/Cynon/Taff,571
Ceredigion,574
Carmarthenshire,575
Pembrokeshire,576
Powys,584
Gwynedd,586
Denbighshire,594
Wrexham,599
Flintshire,600
Conwy,607
Isles of Scilly,51
Nottinghamshire,60
Glasgow City,61
North Lanarkshire,62
South Lanarkshire,63
Somerset,64
Bridgend,502
Swansea,503
Neath Port Talbot,520
The Vale of Glamorgan,521
Cardiff,522
Merthyr Tydfil,530
Isle of Anglesey,629
West Lothian,700
Renfrewshire,701
City of Edinburgh,703
Falkirk,704
Perth,706
Fife,707
Scottish Borders,708
Highland,720
Midlothian,725
Dumfries,740
East Ayrshire,749
South Ayrshire,752
North Ayrshire,754
Stirling,761
West Dunbartonshire,763
Argyll,764
Aberdeenshire,773
Moray,781
Dundee City,798
Inverclyde,1007
East Dunbartonshire,1031
Clackmannanshire,1040
Aberdeen City,1041
Angus,1044
East Lothian,1059
Comhairle nan Eilean Siar,1134
Orkney Islands,1182
Shetland Islands,1187
Stockport,3000
Barnet,6000
Northamptonshire,6004
Leicestershire,6005
Derbyshire,6006
Rotherham,6007
Leeds,6009
Medway,6010
Hampshire,6012
Hillingdon,6013
West Berkshire,6015
Wiltshire,6016
Worcestershire,6017
Gloucestershire,6019
Devon,6023
Warwickshire,6024
East Cheshire,6027
Warrington,6028
Wigan,6029
Lancashire,6030
Cumbria,6033
Hertfordshire,6034
Doncaster,6035
Kent,6036
West Sussex,6037
Portsmouth,6039
Buckinghamshire,6042
Wirral,6045
Manchester,6046
Bury,6053
Calderdale,6054
East Riding of Yorkshire,6057
Salford,6058
Trafford,6059
Durham,6065
Tower Hamlets,6071
Sunderland,6072
Rochdale,6073
Islington,6075
Central Bedfordshire,6079
Cambridgeshire,6081
Rutland,6082
North Yorkshire,6088
Northumberland,6091
Southwark,6094
Lewisham,6095
Greenwich,6096
Bexley,6097
Lambeth,6108
Wandsworth,6109
Westminster,6119
Kensington and Chelsea,6121
Hounslow,6122
Slough,6124
Wokingham,6126
Reading,6127
Bath and North East Somerset,6133
Shropshire,6139
Staffordshire,6140
Brent,6151
Derby,6167
Luton,6176
Enfield,6188
Hackney,6190
Essex,6198
Redbridge,6199
Suffolk,6204
Southend-on-Sea,6212
Thurrock,6213
Peterborough,6218
North Lincolnshire,6222
Lincolnshire,6226
North East Lincolnshire,6234
Hartlepool,6240
East Sussex,6258
Croydon,6268
Surrey,6269
Brighton and Hove,6273
Southampton,6292
Dorset,6318
Cornwall excluding Isles of Scilly,6326
Stoke-on-Trent,6353
Birmingham,6359
Oxfordshire,6363
South Gloucestershire,6399
City of Bristol,6401
Camden,6425
Hammersmith and Fulham,6428
Ealing,6429
West Cheshire,6441
Wolverhampton,6446
Walsall,6447
Solihull,6450
Coventry,6471
Leicester,6488
Norfolk,6498
County of Herefordshire,6518
Halton,6557
Knowsley,6559
St. Helens,6560
Sheffield,6565
Bolton,6571
Liverpool,6586
Oldham,6605
Stockton-on-Tees,6618
Darlington,6619
Haringey,6627
South Tyneside,6637
Waltham Forest,6643
Newham,6644
Barking and Dagenham,6658
City of Kingston upon Hull,6713
Middlesbrough,6727
Gateshead,6735
Newcastle upon Tyne,6736
North Tyneside,6737
City of London,6751
Richmond upon Thames,6758
Bromley,6764
Sutton,6800
Kingston upon Thames,6807
Windsor and Maidenhead,6889
Bracknell Forest,6910
Swindon,6947
Bournemouth,6952
North Somerset,6992
Torbay,7010
Harrow,7050
Bedford,7083
Telford and Wrekin,7114
Nottingham,7176
Dudley,7180
Sandwell,7183
Milton Keynes,7225
Sefton,7278
Blackpool,7307
Barnsley,7354
Wakefield,7375
Bradford,7377
Tameside,7391
Kirklees,7392
Blackburn with Darwen,7429
Redcar and Cleveland,7490
Isle of Wight,7566
Poole,7868
Havering,7889
York,8002
Plymouth,8077
Merton,9029
Caerphilly,10577
East Renfrewshire,10900